Constituency,County,Country/Region,Country,Electorate,Turnout,Total votes,Conservative,Labour,Lib. Dem.,Brexit,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,Other
ABERAVON,West Glamorgan,Wales,Wales,50750,0.6226206896551724,31598,6518,17008,1072,3108,450,NA,2711,NA,NA,NA,NA,NA,731
ABERCONWY,Clwyd,Wales,Wales,44699,0.7128794827624779,31865,14687,12653,1821,NA,NA,NA,2704,NA,NA,NA,NA,NA,NA
ABERDEEN NORTH,NA,Scotland,Scotland,62489,0.5987133735537454,37413,7535,4939,2846,1008,880,20205,NA,NA,NA,NA,NA,NA,NA
ABERDEEN SOUTH,NA,Scotland,Scotland,65719,0.6944414857195027,45638,16398,3834,5018,NA,NA,20388,NA,NA,NA,NA,NA,NA,NA
AIRDRIE AND SHOTTS,NA,Scotland,Scotland,64011,0.6213307087844276,39772,7011,12728,1419,NA,685,17929,NA,NA,NA,NA,NA,NA,NA
ALDERSHOT,Hampshire,South East,England,72617,0.6600658248068634,47932,27980,11282,6920,NA,1750,NA,NA,NA,NA,NA,NA,NA,NA
ALDRIDGE-BROWNHILLS,West Midlands,West Midlands,England,60138,0.6541953506934052,39342,27850,8014,2371,NA,771,NA,NA,NA,NA,NA,NA,NA,336
ALTRINCHAM AND SALE WEST,Greater Manchester,North West,England,73107,0.7490801154472212,54763,26311,20172,6036,NA,1566,NA,NA,NA,NA,NA,NA,NA,678
ALYN AND DEESIDE,Clwyd,Wales,Wales,62789,0.6849607415311599,43008,18058,18271,2548,2678,NA,NA,1453,NA,NA,NA,NA,NA,NA
AMBER VALLEY,Derbyshire,East Midlands,England,69976,0.6511804047101863,45567,29096,12210,2873,NA,1388,NA,NA,NA,NA,NA,NA,NA,NA
ANGUS,NA,Scotland,Scotland,63952,0.6750375281461096,43170,17421,2051,2482,NA,NA,21216,NA,NA,NA,NA,NA,NA,NA
ARFON,Gwynedd,Wales,Wales,42215,0.6887125429349757,29074,4428,10353,NA,1159,NA,NA,13134,NA,NA,NA,NA,NA,NA
ARGYLL AND BUTE,NA,Scotland,Scotland,66525,0.7222848553175498,48050,16930,3248,6832,NA,NA,21040,NA,NA,NA,NA,NA,NA,NA
ARUNDEL AND SOUTH DOWNS,West Sussex,South East,England,81726,0.7513887869221545,61408,35566,9722,13045,NA,2519,NA,NA,NA,NA,NA,NA,NA,556
ASHFIELD,Nottinghamshire,East Midlands,England,78204,0.6263106746457981,48980,19231,11971,1105,2501,674,NA,NA,NA,NA,NA,NA,NA,13498
ASHFORD,Kent,South East,England,89553,0.6706531327817047,60059,37270,13241,6048,NA,2638,NA,NA,NA,NA,NA,NA,NA,862
ASHTON-UNDER-LYNE,Greater Manchester,North West,England,67978,0.5675218453028921,38579,14281,18544,1395,3151,1208,NA,NA,NA,NA,NA,NA,NA,NA
AYLESBURY,Buckinghamshire,South East,England,86665,0.6989672878324583,60576,32737,15364,10081,NA,2394,NA,NA,NA,NA,NA,NA,NA,NA
"AYR, CARRICK AND CUMNOCK",NA,Scotland,Scotland,71970,0.64738085313325,46592,17943,6219,2158,NA,NA,20272,NA,NA,NA,NA,NA,NA,NA
BANBURY,Oxfordshire,South East,England,90116,0.698222291269031,62921,34148,17335,8831,NA,2607,NA,NA,NA,NA,NA,NA,NA,NA
BANFF AND BUCHAN,NA,Scotland,Scotland,66655,0.6340109519165854,42260,21182,1734,2280,NA,NA,17064,NA,NA,NA,NA,NA,NA,NA
BARKING,London,London,England,77953,0.5708439700845381,44499,11792,27219,1482,3186,820,NA,NA,NA,NA,NA,NA,NA,NA
BARNSLEY CENTRAL,South Yorkshire,Yorkshire and The Humber,England,65277,0.5653292890298267,36903,7892,14804,1176,11233,900,NA,NA,NA,NA,NA,NA,NA,898
BARNSLEY EAST,South Yorkshire,Yorkshire and The Humber,England,69504,0.5477382596685083,38070,10377,14329,1330,11112,922,NA,NA,NA,NA,NA,NA,NA,NA
BARROW AND FURNESS,Cumbria,North West,England,70158,0.6563185951709,46046,23876,18087,2025,1355,703,NA,NA,NA,NA,NA,NA,NA,NA
BASILDON AND BILLERICAY,Essex,East,England,69906,0.6312476754498898,44128,29590,9178,3741,NA,1395,NA,NA,NA,NA,NA,NA,NA,224
BASINGSTOKE,Hampshire,South East,England,82928,0.6597650974339185,54713,29593,15395,6841,NA,2138,NA,NA,NA,NA,NA,NA,NA,746
BASSETLAW,Nottinghamshire,East Midlands,England,80024,0.6353219034289713,50841,28078,14065,3332,5366,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATH,Avon,South West,England,67805,0.7689403436324754,52138,16097,6639,28419,642,NA,NA,NA,NA,NA,NA,NA,NA,341
BATLEY AND SPEN,West Yorkshire,Yorkshire and The Humber,England,79558,0.6652630785087609,52927,19069,22594,2462,1678,692,NA,NA,NA,NA,NA,NA,NA,6432
BATTERSEA,London,London,England,79350,0.7558538122243226,59977,21622,27290,9150,386,1529,NA,NA,NA,NA,NA,NA,NA,NA
BEACONSFIELD,Buckinghamshire,South East,England,77720,0.7445702521873392,57868,32477,5756,NA,NA,2033,NA,NA,NA,NA,NA,NA,NA,17602
BECKENHAM,London,London,England,68662,0.7362879030613732,50555,27282,13024,8194,NA,2055,NA,NA,NA,NA,NA,NA,NA,NA
BEDFORD,Bedfordshire,East,England,71581,0.6608038445956329,47301,20346,20491,4608,896,960,NA,NA,NA,NA,NA,NA,NA,NA
BELFAST EAST,NA,Northern Ireland,Northern Ireland,66245,0.6407276020831761,42445,NA,NA,NA,NA,NA,NA,NA,20874,NA,NA,2516,19055,NA
BELFAST NORTH,NA,Northern Ireland,Northern Ireland,72225,0.6789477327795085,49037,NA,NA,NA,NA,NA,NA,NA,21135,23078,NA,NA,4824,NA
BELFAST SOUTH,NA,Northern Ireland,Northern Ireland,69984,0.6766117969821673,47352,NA,NA,NA,NA,NA,NA,NA,11678,NA,27079,1259,6786,550
BELFAST WEST,NA,Northern Ireland,Northern Ireland,65644,0.5907927609530194,38782,NA,NA,NA,NA,NA,NA,NA,5220,20866,2985,NA,1882,7829
BERMONDSEY AND OLD SOUTHWARK,London,London,England,93248,0.6285925703500344,58615,9678,31723,15597,1617,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BERWICKSHIRE, ROXBURGH AND SELKIRK",NA,Scotland,Scotland,74518,0.7131968115086288,53146,25747,2513,4287,NA,NA,20599,NA,NA,NA,NA,NA,NA,NA
BERWICK-UPON-TWEED,Northumberland,North East,England,59939,0.7025309064215286,42109,23947,9112,7656,NA,1394,NA,NA,NA,NA,NA,NA,NA,NA
BETHNAL GREEN AND BOW,London,London,England,88262,0.6861616550723981,60562,6528,44052,5892,1081,2570,NA,NA,NA,NA,NA,NA,NA,439
BEVERLEY AND HOLDERNESS,Humberside,Yorkshire and The Humber,England,79696,0.6718279461955431,53542,33250,12802,4671,NA,1378,NA,NA,NA,NA,NA,NA,NA,1441
BEXHILL AND BATTLE,East Sussex,South East,England,81963,0.7209716579432183,59093,37590,11531,7280,NA,2692,NA,NA,NA,NA,NA,NA,NA,NA
BEXLEYHEATH AND CRAYFORD,London,London,England,65466,0.6605871750221489,43246,25856,12753,2819,NA,1298,NA,NA,NA,NA,NA,NA,NA,520
BIRKENHEAD,Merseyside,North West,England,63762,0.6638593519651202,42329,5540,24990,1620,1489,1405,NA,NA,NA,NA,NA,NA,NA,7285
"BIRMINGHAM, EDGBASTON",West Midlands,West Midlands,England,68828,0.6149822746556634,42328,15603,21217,3349,1047,1112,NA,NA,NA,NA,NA,NA,NA,NA
"BIRMINGHAM, ERDINGTON",West Midlands,West Midlands,England,66148,0.5325784604220838,35229,14119,17720,1301,1441,648,NA,NA,NA,NA,NA,NA,NA,NA
"BIRMINGHAM, HALL GREEN",West Midlands,West Midlands,England,80283,0.6590560890848624,52911,7381,35889,3673,877,818,NA,NA,NA,NA,NA,NA,NA,4273
"BIRMINGHAM, HODGE HILL",West Midlands,West Midlands,England,78295,0.5747876620473849,45003,6742,35397,760,1519,328,NA,NA,NA,NA,NA,NA,NA,257
"BIRMINGHAM, LADYWOOD",West Midlands,West Midlands,England,74912,0.5622330200768902,42118,4773,33355,2228,831,931,NA,NA,NA,NA,NA,NA,NA,NA
"BIRMINGHAM, NORTHFIELD",West Midlands,West Midlands,England,73694,0.5848237305615112,43098,19957,18317,1961,1655,954,NA,NA,NA,NA,NA,NA,NA,254
"BIRMINGHAM, PERRY BARR",West Midlands,West Midlands,England,72006,0.5853262228147654,42147,11277,26594,1901,1382,845,NA,NA,NA,NA,NA,NA,NA,148
"BIRMINGHAM, SELLY OAK",West Midlands,West Midlands,England,82665,0.5984031936127745,49467,15300,27714,3169,1436,1848,NA,NA,NA,NA,NA,NA,NA,NA
"BIRMINGHAM, YARDLEY",West Midlands,West Midlands,England,74704,0.5712947097879632,42678,12720,23379,3754,2246,579,NA,NA,NA,NA,NA,NA,NA,NA
BISHOP AUCKLAND,Durham,North East,England,68170,0.6572539240134957,44805,24067,16105,2133,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLACKBURN,Lancashire,North West,England,71234,0.6280147120756941,44736,10736,29040,1130,2770,741,NA,NA,NA,NA,NA,NA,NA,319
BLACKLEY AND BROUGHTON,Greater Manchester,North West,England,73372,0.526331570626397,38618,9485,23887,1590,2736,920,NA,NA,NA,NA,NA,NA,NA,NA
BLACKPOOL NORTH AND CLEVELEYS,Lancashire,North West,England,63692,0.6092444891038121,38804,22364,13768,1494,NA,735,NA,NA,NA,NA,NA,NA,NA,443
BLACKPOOL SOUTH,Lancashire,North West,England,57690,0.5677240422950252,32752,16247,12557,1008,2009,563,NA,NA,NA,NA,NA,NA,NA,368
BLAENAU GWENT,Gwent and Mid Glamorgan,Wales,Wales,50739,0.5955773665227931,30219,5749,14862,1285,6215,386,NA,1722,NA,NA,NA,NA,NA,NA
BLAYDON,Tyne and Wear,North East,England,67853,0.6732347869659411,45681,14263,19794,3703,5833,1279,NA,NA,NA,NA,NA,NA,NA,809
BLYTH VALLEY,Northumberland,North East,England,64429,0.6341709478650918,40859,17440,16728,2151,3394,1146,NA,NA,NA,NA,NA,NA,NA,NA
BOGNOR REGIS AND LITTLEHAMPTON,West Sussex,South East,England,77446,0.6614027838752162,51223,32521,10018,5645,NA,1826,NA,NA,NA,NA,NA,NA,NA,1213
BOLSOVER,Derbyshire,East Midlands,England,75161,0.6111946355157595,45938,21791,16492,1759,4151,758,NA,NA,NA,NA,NA,NA,NA,987
BOLTON NORTH EAST,Greater Manchester,North West,England,67564,0.6446628381978569,43556,19759,19381,1847,1880,689,NA,NA,NA,NA,NA,NA,NA,NA
BOLTON SOUTH EAST,Greater Manchester,North West,England,69163,0.5870769052817257,40604,13918,21516,1411,2968,791,NA,NA,NA,NA,NA,NA,NA,NA
BOLTON WEST,Greater Manchester,North West,England,73191,0.6735527592190297,49298,27255,18400,2704,NA,939,NA,NA,NA,NA,NA,NA,NA,NA
BOOTLE,Merseyside,North West,England,74832,0.6571252939918751,49174,4510,39066,1822,2610,1166,NA,NA,NA,NA,NA,NA,NA,NA
BOSTON AND SKEGNESS,Lincolnshire,East Midlands,England,69381,0.6009714475144492,41696,31963,6342,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,1428
BOSWORTH,Leicestershire,East Midlands,England,81542,0.6920605332221432,56432,36056,9778,9096,NA,1502,NA,NA,NA,NA,NA,NA,NA,NA
BOURNEMOUTH EAST,Dorset,South West,England,74125,0.6647419898819562,49274,24926,16120,5418,NA,2049,NA,NA,NA,NA,NA,NA,NA,761
BOURNEMOUTH WEST,Dorset,South West,England,74205,0.6195943669564046,45977,24550,14400,4931,NA,2096,NA,NA,NA,NA,NA,NA,NA,NA
BRACKNELL,Berkshire,South East,England,78978,0.6881663247993112,54350,31894,12065,7749,NA,2089,NA,NA,NA,NA,NA,NA,NA,553
BRADFORD EAST,West Yorkshire,Yorkshire and The Humber,England,73206,0.6035570854847964,44184,9681,27825,3316,2700,662,NA,NA,NA,NA,NA,NA,NA,NA
BRADFORD SOUTH,West Yorkshire,Yorkshire and The Humber,England,69046,0.5755728065347739,39741,16044,18390,1505,2819,983,NA,NA,NA,NA,NA,NA,NA,NA
BRADFORD WEST,West Yorkshire,Yorkshire and The Humber,England,70694,0.6260927377146576,44261,6717,33736,1349,1556,813,NA,NA,NA,NA,NA,NA,NA,90
BRAINTREE,Essex,East,England,75208,0.6714578236357834,50499,34112,9439,4779,NA,NA,NA,NA,NA,NA,NA,NA,NA,2169
BRECON AND RADNORSHIRE,Powys,Wales,Wales,55490,0.7446206523697964,41319,21958,3944,14827,NA,NA,NA,NA,NA,NA,NA,NA,NA,590
BRENT CENTRAL,London,London,England,84032,0.5846820258948972,49132,10909,31779,4844,NA,1600,NA,NA,NA,NA,NA,NA,NA,NA
BRENTFORD AND ISLEWORTH,London,London,England,85775,0.6799883415913728,58326,18752,29266,7314,1165,1829,NA,NA,NA,NA,NA,NA,NA,NA
BRENT NORTH,London,London,England,83788,0.6191698095192629,51879,18832,26911,4065,951,850,NA,NA,NA,NA,NA,NA,NA,270
BRENTWOOD AND ONGAR,Essex,East,England,75255,0.7035944455517906,52949,36308,7243,7187,NA,1679,NA,NA,NA,NA,NA,NA,NA,532
BRIDGEND,Gwent and Mid Glamorgan,Wales,Wales,63303,0.6672037660142489,42236,18193,17036,2368,1811,815,NA,2013,NA,NA,NA,NA,NA,NA
BRIDGWATER AND WEST SOMERSET,Somerset,South West,England,85327,0.6756595216051191,57652,35827,11388,7805,NA,1877,NA,NA,NA,NA,NA,NA,NA,755
BRIGG AND GOOLE,Humberside,Yorkshire and The Humber,England,65939,0.6582144102882967,43402,30941,9000,2180,NA,1281,NA,NA,NA,NA,NA,NA,NA,NA
"BRIGHTON, KEMPTOWN",East Sussex,South East,England,69833,0.6949866109146106,48533,16972,25033,2964,1327,2237,NA,NA,NA,NA,NA,NA,NA,NA
"BRIGHTON, PAVILION",East Sussex,South East,England,79057,0.7336225761159669,57998,10176,13211,NA,770,33151,NA,NA,NA,NA,NA,NA,NA,690
BRISTOL EAST,Avon,South West,England,73867,0.7060527705199886,52154,16923,27717,3527,1881,2106,NA,NA,NA,NA,NA,NA,NA,NA
BRISTOL NORTH WEST,Avon,South West,England,76273,0.7326970225374642,55885,21638,27330,4940,NA,1977,NA,NA,NA,NA,NA,NA,NA,NA
BRISTOL SOUTH,Avon,South West,England,84079,0.6564778363206032,55196,18036,27895,4227,2325,2713,NA,NA,NA,NA,NA,NA,NA,NA
BRISTOL WEST,Avon,South West,England,99253,0.7609644040986167,75528,8822,47028,NA,869,18809,NA,NA,NA,NA,NA,NA,NA,NA
BROADLAND,Norfolk,East,England,78151,0.7290629678443015,56977,33934,12073,9195,NA,1412,NA,NA,NA,NA,NA,NA,NA,363
BROMLEY AND CHISLEHURST,London,London,England,66697,0.6831791534851642,45566,23958,13067,6621,NA,1546,NA,NA,NA,NA,NA,NA,NA,374
BROMSGROVE,Hereford and Worcester,West Midlands,England,75078,0.7228748767948001,54272,34408,11302,6779,NA,1783,NA,NA,NA,NA,NA,NA,NA,NA
BROXBOURNE,Hertfordshire,East,England,73182,0.6382170479079555,46706,30631,10824,3970,NA,1281,NA,NA,NA,NA,NA,NA,NA,NA
BROXTOWE,Nottinghamshire,East Midlands,England,73052,0.7566117286316596,55272,26602,21271,NA,NA,1806,NA,NA,NA,NA,NA,NA,NA,5593
BUCKINGHAM,Buckinghamshire,South East,England,83146,0.7632116999013783,63458,37035,7638,16624,1286,NA,NA,NA,NA,NA,NA,NA,NA,875
BURNLEY,Lancashire,North West,England,64345,0.6058590411065351,38984,15720,14368,3501,3362,739,NA,NA,NA,NA,NA,NA,NA,1294
BURTON,Staffordshire,West Midlands,England,75036,0.6495282264513034,48738,29560,15064,2681,NA,1433,NA,NA,NA,NA,NA,NA,NA,NA
BURY NORTH,Greater Manchester,North West,England,68802,0.6808086974215866,46841,21660,21555,1584,1240,802,NA,NA,NA,NA,NA,NA,NA,NA
BURY SOUTH,Greater Manchester,North West,England,75152,0.6689642324888226,50274,22034,21632,2315,1672,848,NA,NA,NA,NA,NA,NA,NA,1773
BURY ST EDMUNDS,Suffolk,East,England,89644,0.6911449734505377,61957,37770,12782,NA,NA,9711,NA,NA,NA,NA,NA,NA,NA,1694
CAERPHILLY,Gwent and Mid Glamorgan,Wales,Wales,63166,0.635104328277871,40117,11185,18018,NA,4490,NA,NA,6424,NA,NA,NA,NA,NA,NA
"CAITHNESS, SUTHERLAND AND EASTER ROSS",NA,Scotland,Scotland,46930,0.6702961858086511,31457,5176,1936,11705,1139,NA,11501,NA,NA,NA,NA,NA,NA,NA
CALDER VALLEY,West Yorkshire,Yorkshire and The Humber,England,79287,0.728908900576387,57793,29981,24207,2884,NA,NA,NA,NA,NA,NA,NA,NA,NA,721
CAMBERWELL AND PECKHAM,London,London,England,88971,0.6349484663542053,56492,6478,40258,5087,1041,3501,NA,NA,NA,NA,NA,NA,NA,127
CAMBORNE AND REDRUTH,Cornwall,South West,England,70250,0.7169679715302492,50367,26764,18064,3504,NA,1359,NA,NA,NA,NA,NA,NA,NA,676
CAMBRIDGE,Cambridgeshire,East,England,79951,0.6720241147702968,53729,8342,25776,16137,1041,2164,NA,NA,NA,NA,NA,NA,NA,269
CANNOCK CHASE,Staffordshire,West Midlands,England,74813,0.6190501650782618,46313,31636,11757,NA,NA,2920,NA,NA,NA,NA,NA,NA,NA,NA
CANTERBURY,Kent,South East,England,80203,0.749510616809845,60113,27182,29018,3408,NA,NA,NA,NA,NA,NA,NA,NA,NA,505
CARDIFF CENTRAL,South Glamorgan,Wales,Wales,64037,0.6530911816606024,41822,8426,25605,6298,1006,NA,NA,NA,NA,NA,NA,NA,NA,487
CARDIFF NORTH,South Glamorgan,Wales,Wales,68438,0.7695432362137994,52666,19082,26064,3580,1311,820,NA,1606,NA,NA,NA,NA,NA,203
CARDIFF SOUTH AND PENARTH,South Glamorgan,Wales,Wales,78837,0.6415642401410505,50579,14645,27382,2985,1999,1182,NA,2386,NA,NA,NA,NA,NA,NA
CARDIFF WEST,South Glamorgan,Wales,Wales,68508,0.6740380685467391,46177,12922,23908,2731,1619,1133,NA,3864,NA,NA,NA,NA,NA,NA
CARLISLE,Cumbria,North West,England,65105,0.6585208509331081,42873,23659,15340,2829,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045
CARMARTHEN EAST AND DINEFWR,Dyfed,Wales,Wales,57419,0.7140841881607134,41002,14130,8622,NA,2311,NA,NA,15939,NA,NA,NA,NA,NA,NA
CARMARTHEN WEST AND SOUTH PEMBROKESHIRE,Dyfed,Wales,Wales,59158,0.7118901923662058,42114,22183,14438,1860,NA,NA,NA,3633,NA,NA,NA,NA,NA,NA
CARSHALTON AND WALLINGTON,London,London,England,72941,0.6731193704500898,49098,20822,6081,20193,1043,759,NA,NA,NA,NA,NA,NA,NA,200
CASTLE POINT,Essex,East,England,69608,0.6360906792322721,44277,33971,7337,2969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CENTRAL AYRSHIRE,NA,Scotland,Scotland,69742,0.6672306501104069,46534,16182,6583,2283,NA,NA,21486,NA,NA,NA,NA,NA,NA,NA
CENTRAL DEVON,Devon,South West,England,74926,0.7750580572831861,58072,32095,14374,8770,NA,2833,NA,NA,NA,NA,NA,NA,NA,NA
CENTRAL SUFFOLK AND NORTH IPSWICH,Suffolk,East,England,80037,0.7027999550208028,56250,35253,11862,6485,NA,2650,NA,NA,NA,NA,NA,NA,NA,NA
CEREDIGION,Dyfed,Wales,Wales,56250,0.7129777777777778,40105,8879,6317,6975,2063,663,NA,15208,NA,NA,NA,NA,NA,NA
CHARNWOOD,Leicestershire,East Midlands,England,79534,0.6961173837604043,55365,35121,12724,4856,NA,2664,NA,NA,NA,NA,NA,NA,NA,NA
CHATHAM AND AYLESFORD,Kent,South East,England,71642,0.6049524022221602,43340,28856,10316,2866,NA,1090,NA,NA,NA,NA,NA,NA,NA,212
CHEADLE,Greater Manchester,North West,England,74577,0.7496010834439573,55903,25694,6851,23358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHELMSFORD,Essex,East,England,80394,0.710525661118989,57122,31934,10295,14313,NA,NA,NA,NA,NA,NA,NA,NA,NA,580
CHELSEA AND FULHAM,London,London,England,67110,0.6976754582029504,46821,23345,10872,12104,NA,NA,NA,NA,NA,NA,NA,NA,NA,500
CHELTENHAM,Gloucestershire,South West,England,81044,0.7324046197127486,59357,28486,2921,27505,NA,NA,NA,NA,NA,NA,NA,NA,NA,445
CHESHAM AND AMERSHAM,Buckinghamshire,South East,England,72542,0.7676242728350473,55685,30850,7166,14627,NA,3042,NA,NA,NA,NA,NA,NA,NA,NA
CHESTERFIELD,Derbyshire,East Midlands,England,71034,0.6361179153644734,45186,16720,18171,3985,4771,1148,NA,NA,NA,NA,NA,NA,NA,391
CHICHESTER,West Sussex,South East,England,85499,0.716300775447666,61243,35402,9069,13912,NA,2527,NA,NA,NA,NA,NA,NA,NA,333
CHINGFORD AND WOODFORD GREEN,London,London,England,65393,0.7408132368907987,48444,23481,22219,2744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHIPPENHAM,Wiltshire,South West,England,77221,0.739423213892594,57099,30994,6399,19706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHIPPING BARNET,London,London,England,79960,0.7199724862431216,57569,25745,24533,5932,NA,1288,NA,NA,NA,NA,NA,NA,NA,71
CHORLEY,Lancashire,North West,England,78177,0.5099965462987835,39870,NA,NA,NA,NA,3600,NA,NA,NA,NA,NA,NA,NA,36270
CHRISTCHURCH,Dorset,South West,England,71520,0.7263842281879195,51951,33894,6568,9277,NA,2212,NA,NA,NA,NA,NA,NA,NA,NA
CITIES OF LONDON AND WESTMINSTER,London,London,England,63700,0.670690737833595,42723,17049,11624,13096,NA,728,NA,NA,NA,NA,NA,NA,NA,226
CITY OF CHESTER,Cheshire,North West,England,76057,0.7173567193026283,54560,20918,27082,3734,1388,1438,NA,NA,NA,NA,NA,NA,NA,NA
CITY OF DURHAM,Durham,North East,England,71271,0.6855382974842502,48859,15506,20531,7935,3252,1635,NA,NA,NA,NA,NA,NA,NA,NA
CLACTON,Essex,East,England,70930,0.6133652897222613,43506,31438,6736,2541,NA,1225,NA,NA,NA,NA,NA,NA,NA,1566
CLEETHORPES,Humberside,Yorkshire and The Humber,England,73689,0.6288455536104439,46339,31969,10551,2535,NA,1284,NA,NA,NA,NA,NA,NA,NA,NA
CLWYD SOUTH,Clwyd,Wales,Wales,53919,0.6733433483558672,36306,16222,14983,1496,1468,NA,NA,2137,NA,NA,NA,NA,NA,NA
CLWYD WEST,Clwyd,Wales,Wales,57714,0.6965900821291194,40203,20403,13656,2237,NA,NA,NA,3907,NA,NA,NA,NA,NA,NA
"COATBRIDGE, CHRYSTON AND BELLSHILL",NA,Scotland,Scotland,72943,0.6610778278930124,48221,6113,17056,1564,NA,808,22680,NA,NA,NA,NA,NA,NA,NA
COLCHESTER,Essex,East,England,82625,0.6459667170953102,53373,26917,17494,7432,NA,1530,NA,NA,NA,NA,NA,NA,NA,NA
COLNE VALLEY,West Yorkshire,Yorkshire and The Humber,England,84174,0.7234062774728538,60892,29482,24379,3815,1268,1068,NA,NA,NA,NA,NA,NA,NA,880
CONGLETON,Cheshire,North West,England,80930,0.7071913999752872,57233,33747,15186,6026,NA,1616,NA,NA,NA,NA,NA,NA,NA,658
COPELAND,Cumbria,North West,England,61693,0.6892678261715267,42523,22856,17014,1888,NA,765,NA,NA,NA,NA,NA,NA,NA,NA
CORBY,Northamptonshire,East Midlands,England,86153,0.7019488584262881,60475,33410,23142,3923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COVENTRY NORTH EAST,West Midlands,West Midlands,England,76006,0.5847433097387048,44444,15720,23412,2061,2110,1141,NA,NA,NA,NA,NA,NA,NA,NA
COVENTRY NORTH WEST,West Midlands,West Midlands,England,75247,0.6344970563610509,47744,20710,20918,2717,1956,1443,NA,NA,NA,NA,NA,NA,NA,NA
COVENTRY SOUTH,West Midlands,West Midlands,England,70979,0.6346102368306119,45044,19143,19544,3398,1432,1092,NA,NA,NA,NA,NA,NA,NA,435
CRAWLEY,West Sussex,South East,England,74207,0.6724298246796124,49899,27040,18680,2728,NA,1451,NA,NA,NA,NA,NA,NA,NA,NA
CREWE AND NANTWICH,Cheshire,North West,England,80321,0.6727007880877978,54032,28704,20196,2618,1390,975,NA,NA,NA,NA,NA,NA,NA,149
CROYDON CENTRAL,London,London,England,81407,0.6638863979756041,54045,21175,27124,3532,999,1215,NA,NA,NA,NA,NA,NA,NA,NA
CROYDON NORTH,London,London,England,88468,0.628577564769182,55609,11822,36495,4476,839,1629,NA,NA,NA,NA,NA,NA,NA,348
CROYDON SOUTH,London,London,England,83982,0.7067943130670858,59358,30985,18646,7503,NA,1782,NA,NA,NA,NA,NA,NA,NA,442
"CUMBERNAULD, KILSYTH AND KIRKINTILLOCH EAST",NA,Scotland,Scotland,66079,0.6913845548510117,45686,7380,11182,2966,NA,NA,24158,NA,NA,NA,NA,NA,NA,NA
CYNON VALLEY,Gwent and Mid Glamorgan,Wales,Wales,51134,0.5913091093988344,30236,6711,15533,949,3045,NA,NA,2562,NA,NA,NA,NA,NA,1436
DAGENHAM AND RAINHAM,London,London,England,71045,0.6155957491730594,43735,19175,19468,1182,2887,602,NA,NA,NA,NA,NA,NA,NA,421
