Constituency,County,Country/Region,Country,Electorate,Turnout,Total votes,Conservative,Labour,Lib. Dem.,Brexit,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,Other
LEICESTER SOUTH,Leicestershire,East Midlands,England,77708,0.6453260925516034,50147,10931,33606,2754,1187,1669,NA,NA,NA,NA,NA,NA,NA,NA
LEICESTER WEST,Leicestershire,East Midlands,England,64940,0.5354943024330151,34775,13079,17291,1808,1620,977,NA,NA,NA,NA,NA,NA,NA,NA
LEIGH,Greater Manchester,North West,England,77417,0.606830541095625,46979,21266,19301,2252,3161,NA,NA,NA,NA,NA,NA,NA,NA,999
LEWES,East Sussex,South East,England,71503,0.7671146665174888,54851,26268,3206,23811,NA,1453,NA,NA,NA,NA,NA,NA,NA,113
"LEWISHAM, DEPTFORD",London,London,England,80631,0.6866837816720616,55368,6303,39216,5774,789,3085,NA,NA,NA,NA,NA,NA,NA,201
LEWISHAM EAST,London,London,England,67857,0.660432969332567,44815,9653,26661,5039,1234,1706,NA,NA,NA,NA,NA,NA,NA,522
LEWISHAM WEST AND PENGE,London,London,England,74617,0.6982323063108943,52100,10317,31860,6260,1060,2390,NA,NA,NA,NA,NA,NA,NA,213
LEYTON AND WANSTEAD,London,London,England,64852,0.6869024856596558,44547,8028,28836,4666,785,1805,NA,NA,NA,NA,NA,NA,NA,427
LICHFIELD,Staffordshire,West Midlands,England,76616,0.7047222512268978,53993,34844,11206,5632,NA,1743,NA,NA,NA,NA,NA,NA,NA,568
LINCOLN,Lincolnshire,East Midlands,England,74942,0.6755757786021189,50629,24267,20753,2422,1079,1195,NA,NA,NA,NA,NA,NA,NA,913
LINLITHGOW AND EAST FALKIRK,NA,Scotland,Scotland,87044,0.6637447727586049,57775,14285,10517,4393,1257,1184,25551,NA,NA,NA,NA,NA,NA,588
"LIVERPOOL, RIVERSIDE",Merseyside,North West,England,80310,0.6573154028140954,52789,4127,41170,2696,1779,3017,NA,NA,NA,NA,NA,NA,NA,NA
"LIVERPOOL, WALTON",Merseyside,North West,England,62628,0.6512422558599987,40786,4018,34538,756,NA,814,NA,NA,NA,NA,NA,NA,NA,660
"LIVERPOOL, WAVERTREE",Merseyside,North West,England,63458,0.6835544769768981,43377,4225,31310,4055,1921,1365,NA,NA,NA,NA,NA,NA,NA,501
"LIVERPOOL, WEST DERBY",Merseyside,North West,England,65640,0.6701553930530164,43989,4133,34117,1296,2012,605,NA,NA,NA,NA,NA,NA,NA,1826
LIVINGSTON,NA,Scotland,Scotland,82285,0.6634502035607948,54592,12182,11915,3457,NA,1421,25617,NA,NA,NA,NA,NA,NA,NA
LLANELLI,Dyfed,Wales,Wales,60518,0.6317624508410721,38233,11455,16125,NA,3605,NA,NA,7048,NA,NA,NA,NA,NA,NA
LOUGHBOROUGH,Leicestershire,East Midlands,England,79764,0.6849079785366832,54631,27954,20785,4153,NA,1504,NA,NA,NA,NA,NA,NA,NA,235
LOUTH AND HORNCASTLE,Lincolnshire,East Midlands,England,79634,0.6571564909460783,52332,38021,9153,4114,NA,NA,NA,NA,NA,NA,NA,NA,NA,1044
LUDLOW,Shropshire,West Midlands,England,69444,0.7232446287656241,50225,32185,7591,8537,NA,1912,NA,NA,NA,NA,NA,NA,NA,NA
LUTON NORTH,Bedfordshire,East,England,68185,0.6246095182224829,42589,14249,23496,2063,1215,771,NA,NA,NA,NA,NA,NA,NA,795
LUTON SOUTH,Bedfordshire,East,England,69338,0.6066514753814647,42064,13031,21787,NA,1601,995,NA,NA,NA,NA,NA,NA,NA,4650
MACCLESFIELD,Cheshire,North West,England,76216,0.7067676078513698,53867,28292,17581,5684,NA,2310,NA,NA,NA,NA,NA,NA,NA,NA
MAIDENHEAD,Berkshire,South East,England,76668,0.7368393593154902,56492,32620,7882,13774,NA,2216,NA,NA,NA,NA,NA,NA,NA,NA
MAIDSTONE AND THE WEALD,Kent,South East,England,76109,0.6790261335715881,51680,31220,9448,8482,NA,2172,NA,NA,NA,NA,NA,NA,NA,358
MAKERFIELD,Greater Manchester,North West,England,74190,0.5965628790942176,44259,15214,19954,2108,5817,1166,NA,NA,NA,NA,NA,NA,NA,NA
MALDON,Essex,East,England,72438,0.6958778541649411,50408,36304,6263,5990,NA,1851,NA,NA,NA,NA,NA,NA,NA,NA
MANCHESTER CENTRAL,Greater Manchester,North West,England,92247,0.5668368619033681,52289,7734,36823,3420,2335,1870,NA,NA,NA,NA,NA,NA,NA,107
"MANCHESTER, GORTON",Greater Manchester,North West,England,76419,0.5829047749905129,44545,4244,34583,2448,1573,1697,NA,NA,NA,NA,NA,NA,NA,NA
"MANCHESTER, WITHINGTON",Greater Manchester,North West,England,76530,0.6924735397883183,52995,5820,35902,7997,1308,1968,NA,NA,NA,NA,NA,NA,NA,NA
MANSFIELD,Nottinghamshire,East Midlands,England,77131,0.6388222634219705,49273,31484,15178,1626,NA,NA,NA,NA,NA,NA,NA,NA,NA,985
MEON VALLEY,Hampshire,South East,England,75737,0.7239394219470008,54829,35271,5644,11716,NA,2198,NA,NA,NA,NA,NA,NA,NA,NA
MERIDEN,West Midlands,West Midlands,England,85368,0.6344414769000094,54161,34358,11522,5614,NA,2667,NA,NA,NA,NA,NA,NA,NA,NA
MERTHYR TYDFIL AND RHYMNEY,Gwent and Mid Glamorgan,Wales,Wales,56322,0.5725293846099215,32246,6307,16913,1116,3604,NA,NA,2446,NA,NA,NA,NA,NA,1860
MID BEDFORDSHIRE,Bedfordshire,East,England,87795,0.7371376502078706,64717,38692,14028,8171,NA,2478,NA,NA,NA,NA,NA,NA,NA,1348
MID DERBYSHIRE,Derbyshire,East Midlands,England,67442,0.731828830698971,49356,29027,13642,4756,NA,1931,NA,NA,NA,NA,NA,NA,NA,NA
MIDDLESBROUGH,Cleveland,North East,England,60764,0.5611381739187677,34097,8812,17207,816,2168,546,NA,NA,NA,NA,NA,NA,NA,4548
MIDDLESBROUGH SOUTH AND EAST CLEVELAND,Cleveland,North East,England,72348,0.6609305025709072,47817,28135,16509,1953,NA,1220,NA,NA,NA,NA,NA,NA,NA,NA
MID DORSET AND NORTH POOLE,Dorset,South West,England,65427,0.7478563895639415,48930,29548,3402,14650,NA,1330,NA,NA,NA,NA,NA,NA,NA,NA
MIDLOTHIAN,NA,Scotland,Scotland,70544,0.6835591970968473,48221,10467,14328,3393,NA,NA,20033,NA,NA,NA,NA,NA,NA,NA
MID NORFOLK,Norfolk,East,England,82203,0.6835030351690328,56186,35051,12457,7739,NA,NA,NA,NA,NA,NA,NA,NA,NA,939
MID SUSSEX,West Sussex,South East,England,85146,0.7371103751203815,62762,33455,11218,15258,NA,2234,NA,NA,NA,NA,NA,NA,NA,597
MID ULSTER,NA,Northern Ireland,Northern Ireland,70449,0.6333659810643161,44620,NA,NA,NA,NA,NA,NA,NA,10936,20473,6384,2611,3526,690
MID WORCESTERSHIRE,Hereford and Worcester,West Midlands,England,78220,0.7175019176681156,56123,37426,9408,6474,NA,2177,NA,NA,NA,NA,NA,NA,NA,638
MILTON KEYNES NORTH,Buckinghamshire,South East,England,91545,0.6831940575673167,62543,30938,24683,4991,NA,1931,NA,NA,NA,NA,NA,NA,NA,NA
MILTON KEYNES SOUTH,Buckinghamshire,South East,England,96363,0.6642279713167917,64007,32011,25067,4688,NA,1495,NA,NA,NA,NA,NA,NA,NA,746
MITCHAM AND MORDEN,London,London,England,70021,0.6532468830779338,45741,11482,27964,3717,1202,1160,NA,NA,NA,NA,NA,NA,NA,216
MOLE VALLEY,Surrey,South East,England,74665,0.7648831447130516,57110,31656,2965,19615,NA,1874,NA,NA,NA,NA,NA,NA,NA,1000
MONMOUTH,Gwent and Mid Glamorgan,Wales,Wales,67098,0.7484127693820978,50217,26160,16178,4909,NA,1353,NA,1182,NA,NA,NA,NA,NA,435
MONTGOMERYSHIRE,Powys,Wales,Wales,48997,0.698287650264302,34214,20020,5585,7882,NA,NA,NA,NA,NA,NA,NA,NA,NA,727
MORAY,NA,Scotland,Scotland,71035,0.6873372281269796,48825,22112,2432,2269,NA,NA,21599,NA,NA,NA,NA,NA,NA,413
MORECAMBE AND LUNESDALE,Lancashire,North West,England,67397,0.6722851165482143,45310,23925,17571,2328,NA,938,NA,NA,NA,NA,NA,NA,NA,548
MORLEY AND OUTWOOD,West Yorkshire,Yorkshire and The Humber,England,78803,0.6589850640204054,51930,29424,18157,2285,NA,1107,NA,NA,NA,NA,NA,NA,NA,957
MOTHERWELL AND WISHAW,NA,Scotland,Scotland,68856,0.6451144417334728,44420,7150,14354,1675,NA,NA,20622,NA,NA,NA,NA,NA,NA,619
NA H-EILEANAN AN IAR,NA,Scotland,Scotland,21106,0.6859186961053729,14477,3216,4093,637,NA,NA,6531,NA,NA,NA,NA,NA,NA,NA
NEATH,West Glamorgan,Wales,Wales,56419,0.6514826565518709,36756,10283,15920,1485,3184,728,NA,4495,NA,NA,NA,NA,NA,661
NEWARK,Nottinghamshire,East Midlands,England,75850,0.721977587343441,54762,34660,12844,5308,NA,1950,NA,NA,NA,NA,NA,NA,NA,NA
NEWBURY,Berkshire,South East,England,83414,0.7192797372143764,59998,34431,4404,18384,NA,2454,NA,NA,NA,NA,NA,NA,NA,325
NEWCASTLE-UNDER-LYME,Staffordshire,West Midlands,England,68211,0.655891278532788,44739,23485,16039,2361,1921,933,NA,NA,NA,NA,NA,NA,NA,NA
NEWCASTLE UPON TYNE CENTRAL,Tyne and Wear,North East,England,57845,0.647834730745959,37474,9290,21568,2709,2542,1365,NA,NA,NA,NA,NA,NA,NA,NA
NEWCASTLE UPON TYNE EAST,Tyne and Wear,North East,England,63796,0.6797448115869333,43365,10586,26049,4535,NA,2195,NA,NA,NA,NA,NA,NA,NA,NA
NEWCASTLE UPON TYNE NORTH,Tyne and Wear,North East,England,68486,0.6862570452355226,46999,15589,21354,4357,4331,1368,NA,NA,NA,NA,NA,NA,NA,NA
NEW FOREST EAST,Hampshire,South East,England,73549,0.6905056492950278,50786,32769,7518,7390,NA,2434,NA,NA,NA,NA,NA,NA,NA,675
NEW FOREST WEST,Hampshire,South East,England,70869,0.7098449251435748,50306,32113,6595,7710,NA,3888,NA,NA,NA,NA,NA,NA,NA,NA
NEWPORT EAST,Gwent and Mid Glamorgan,Wales,Wales,58554,0.6196331591351573,36282,14133,16125,2121,2454,577,NA,872,NA,NA,NA,NA,NA,NA
NEWPORT WEST,Gwent and Mid Glamorgan,Wales,Wales,66657,0.6515894804746688,43433,18075,18977,2565,1727,902,NA,1187,NA,NA,NA,NA,NA,NA
NEWRY AND ARMAGH,NA,Northern Ireland,Northern Ireland,81226,0.6251569694432817,50779,NA,NA,NA,NA,NA,NA,NA,11000,20287,9449,4204,4211,1628
NEWTON ABBOT,Devon,South West,England,72529,0.7246204966289347,52556,29190,9329,11689,NA,1508,NA,NA,NA,NA,NA,NA,NA,840
"NORMANTON, PONTEFRACT AND CASTLEFORD",West Yorkshire,Yorkshire and The Humber,England,84527,0.5709299986986407,48259,17021,18297,3147,8032,NA,NA,NA,NA,NA,NA,NA,NA,1762
NORTHAMPTON NORTH,Northamptonshire,East Midlands,England,58768,0.6727981214266268,39539,21031,15524,2031,NA,953,NA,NA,NA,NA,NA,NA,NA,NA
NORTHAMPTON SOUTH,Northamptonshire,East Midlands,England,62163,0.6569020156684845,40835,20914,16217,2482,NA,1222,NA,NA,NA,NA,NA,NA,NA,NA
NORTH ANTRIM,NA,Northern Ireland,Northern Ireland,77134,0.5710970518837348,44051,NA,NA,NA,NA,NA,NA,NA,20860,5632,2943,8139,6231,246
NORTH AYRSHIRE AND ARRAN,NA,Scotland,Scotland,73534,0.6548535371392825,48154,14855,6702,2107,NA,1114,23376,NA,NA,NA,NA,NA,NA,NA
NORTH CORNWALL,Cornwall,South West,England,69935,0.7389433044970329,51678,30671,4516,15919,NA,NA,NA,NA,NA,NA,NA,NA,NA,572
NORTH DEVON,Devon,South West,England,75859,0.7326882769348396,55581,31479,5097,16666,NA,1759,NA,NA,NA,NA,NA,NA,NA,580
NORTH DORSET,Dorset,South West,England,76765,0.7308929850843483,56107,35705,6737,11404,NA,2261,NA,NA,NA,NA,NA,NA,NA,NA
NORTH DOWN,NA,Northern Ireland,Northern Ireland,67099,0.6057169257365982,40643,1959,NA,NA,NA,NA,NA,NA,15390,NA,NA,4936,18358,NA
NORTH DURHAM,Durham,North East,England,66796,0.6316995029642494,42195,13897,18639,2879,4693,1126,NA,NA,NA,NA,NA,NA,NA,961
NORTH EAST BEDFORDSHIRE,Bedfordshire,East,England,90678,0.7170206665343303,65018,38443,14160,7999,NA,1891,NA,NA,NA,NA,NA,NA,NA,2525
NORTH EAST CAMBRIDGESHIRE,Cambridgeshire,East,England,83699,0.6327913117241544,52964,38423,8430,4298,NA,1813,NA,NA,NA,NA,NA,NA,NA,NA
NORTH EAST DERBYSHIRE,Derbyshire,East Midlands,England,72345,0.6803096274794388,49217,28897,16021,3021,NA,1278,NA,NA,NA,NA,NA,NA,NA,NA
NORTH EAST FIFE,NA,Scotland,Scotland,60905,0.7532714883835482,45878,5961,1707,19763,NA,NA,18447,NA,NA,NA,NA,NA,NA,NA
NORTH EAST HAMPSHIRE,Hampshire,South East,England,78954,0.7506902753502039,59270,35280,5760,15069,NA,1754,NA,NA,NA,NA,NA,NA,NA,1407
NORTH EAST HERTFORDSHIRE,Hertfordshire,East,England,76123,0.7268105565991881,55327,31293,13104,8563,NA,2367,NA,NA,NA,NA,NA,NA,NA,NA
NORTH EAST SOMERSET,Avon,South West,England,73692,0.7640992237963415,56308,28360,13631,12422,NA,1423,NA,NA,NA,NA,NA,NA,NA,472
NORTH HEREFORDSHIRE,Hereford and Worcester,West Midlands,England,70252,0.7264277173603598,51033,32158,6804,7302,NA,4769,NA,NA,NA,NA,NA,NA,NA,NA
NORTH NORFOLK,Norfolk,East,England,70729,0.7185595724526008,50823,29792,3895,15397,1739,NA,NA,NA,NA,NA,NA,NA,NA,NA
NORTH SHROPSHIRE,Shropshire,West Midlands,England,83258,0.6787696077253838,56513,35444,12495,5643,NA,1790,NA,NA,NA,NA,NA,NA,NA,1141
NORTH SOMERSET,Avon,South West,England,80194,0.7738110083048607,62055,32801,15265,11051,NA,2938,NA,NA,NA,NA,NA,NA,NA,NA
NORTH SWINDON,Wiltshire,South West,England,82441,0.668538712533812,55115,32584,16413,4408,NA,1710,NA,NA,NA,NA,NA,NA,NA,NA
NORTH THANET,Kent,South East,England,72756,0.6621859365550608,48178,30066,12877,3439,NA,1796,NA,NA,NA,NA,NA,NA,NA,NA
NORTH TYNESIDE,Tyne and Wear,North East,England,78902,0.6391346226965096,50429,15490,25051,3241,5254,1393,NA,NA,NA,NA,NA,NA,NA,NA
NORTH WARWICKSHIRE,Warwickshire,West Midlands,England,70271,0.6533847533121772,45914,30249,12293,2069,NA,1303,NA,NA,NA,NA,NA,NA,NA,NA
NORTH WEST CAMBRIDGESHIRE,Cambridgeshire,East,England,94909,0.679946053588174,64533,40307,14324,6881,NA,3021,NA,NA,NA,NA,NA,NA,NA,NA
NORTH WEST DURHAM,Durham,North East,England,72166,0.6604633761050911,47663,19990,18846,2831,3193,1173,NA,NA,NA,NA,NA,NA,NA,1630
NORTH WEST HAMPSHIRE,Hampshire,South East,England,83083,0.7091462754113357,58918,36591,9327,10283,NA,2717,NA,NA,NA,NA,NA,NA,NA,NA
NORTH WEST LEICESTERSHIRE,Leicestershire,East Midlands,England,78935,0.6818394881864825,53821,33811,13411,3614,NA,2478,NA,NA,NA,NA,NA,NA,NA,507
NORTH WEST NORFOLK,Norfolk,East,England,72080,0.6465316315205327,46602,30627,10705,3625,NA,1645,NA,NA,NA,NA,NA,NA,NA,NA
NORTH WILTSHIRE,Wiltshire,South West,England,73280,0.7472434497816594,54758,32373,5699,14747,NA,1939,NA,NA,NA,NA,NA,NA,NA,NA
NORWICH NORTH,Norfolk,East,England,67172,0.6890519859465254,46285,23397,18659,2663,NA,1078,NA,NA,NA,NA,NA,NA,NA,488
NORWICH SOUTH,Norfolk,East,England,77845,0.6637934356734536,51673,15006,27766,4776,1656,2469,NA,NA,NA,NA,NA,NA,NA,NA
NOTTINGHAM EAST,Nottinghamshire,East Midlands,England,66262,0.603724608372823,40004,8342,25735,1954,1343,1183,NA,NA,NA,NA,NA,NA,NA,1447
NOTTINGHAM NORTH,Nottinghamshire,East Midlands,England,66495,0.5311677569742086,35320,12847,17337,1582,2686,868,NA,NA,NA,NA,NA,NA,NA,NA
NOTTINGHAM SOUTH,Nottinghamshire,East Midlands,England,79485,0.6055733786248978,48134,14018,26586,3935,2012,1583,NA,NA,NA,NA,NA,NA,NA,NA
NUNEATON,Warwickshire,West Midlands,England,70226,0.6434938626719449,45190,27390,14246,1862,NA,1692,NA,NA,NA,NA,NA,NA,NA,NA
OCHIL AND SOUTH PERTHSHIRE,NA,Scotland,Scotland,78776,0.7338910328018686,57813,22384,4961,3204,NA,NA,26882,NA,NA,NA,NA,NA,NA,382
OGMORE,Gwent and Mid Glamorgan,Wales,Wales,57581,0.614612458970841,35390,9797,17602,1460,2991,621,NA,2919,NA,NA,NA,NA,NA,NA
OLD BEXLEY AND SIDCUP,London,London,England,66104,0.6980666828028561,46145,29786,10834,3822,NA,1477,NA,NA,NA,NA,NA,NA,NA,226
OLDHAM EAST AND SADDLEWORTH,Greater Manchester,North West,England,72120,0.6400998336106489,46164,18589,20088,2423,2980,778,NA,NA,NA,NA,NA,NA,NA,1306
OLDHAM WEST AND ROYTON,Greater Manchester,North West,England,72999,0.6086932697708187,44434,13452,24579,1484,3316,681,NA,NA,NA,NA,NA,NA,NA,922
ORKNEY AND SHETLAND,NA,Scotland,Scotland,34211,0.6769752418812662,23160,2287,1550,10381,900,NA,7874,NA,NA,NA,NA,NA,NA,168
ORPINGTON,London,London,England,68877,0.7073623996399379,48721,30882,8504,7552,NA,1783,NA,NA,NA,NA,NA,NA,NA,NA
OXFORD EAST,Oxfordshire,South East,England,78303,0.6303589900770086,49359,10303,28135,6884,1146,2392,NA,NA,NA,NA,NA,NA,NA,499
OXFORD WEST AND ABINGDON,Oxfordshire,South East,England,76951,0.764434510272771,58824,22397,4258,31340,829,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAISLEY AND RENFREWSHIRE NORTH,NA,Scotland,Scotland,72007,0.6899606982654464,49682,11217,11451,3661,NA,NA,23353,NA,NA,NA,NA,NA,NA,NA
PAISLEY AND RENFREWSHIRE SOUTH,NA,Scotland,Scotland,64385,0.6691620719111594,43084,7571,10958,2918,NA,NA,21637,NA,NA,NA,NA,NA,NA,NA
PENDLE,Lancashire,North West,England,65292,0.6809410034920051,44460,24076,17890,1548,NA,678,NA,NA,NA,NA,NA,NA,NA,268
PENISTONE AND STOCKSBRIDGE,South Yorkshire,Yorkshire and The Humber,England,70925,0.698202326401128,49520,23688,16478,5054,4300,NA,NA,NA,NA,NA,NA,NA,NA,NA
PENRITH AND THE BORDER,Cumbria,North West,England,67555,0.7079268743986381,47824,28875,10356,5364,NA,2159,NA,NA,NA,NA,NA,NA,NA,1070
PERTH AND NORTH PERTHSHIRE,NA,Scotland,Scotland,72600,0.7448484848484849,54076,19812,2471,3780,651,NA,27362,NA,NA,NA,NA,NA,NA,NA
PETERBOROUGH,Cambridgeshire,East,England,72560,0.6587789415656009,47801,22334,19754,2334,2127,728,NA,NA,NA,NA,NA,NA,NA,524
"PLYMOUTH, MOOR VIEW",Devon,South West,England,69430,0.6371741322195017,44239,26831,13934,2301,NA,1173,NA,NA,NA,NA,NA,NA,NA,NA
"PLYMOUTH, SUTTON AND DEVONPORT",Devon,South West,England,77852,0.6830396136258542,53176,20704,25461,2545,2909,1557,NA,NA,NA,NA,NA,NA,NA,NA
PONTYPRIDD,Gwent and Mid Glamorgan,Wales,Wales,60327,0.6474712815157392,39060,11494,17381,NA,2917,NA,NA,4990,NA,NA,NA,NA,NA,2278
POOLE,Dorset,South West,England,73989,0.6818716295665572,50451,29599,10483,7819,NA,1702,NA,NA,NA,NA,NA,NA,NA,848
POPLAR AND LIMEHOUSE,London,London,England,91836,0.667232893418703,61276,9756,38660,8832,1493,2159,NA,NA,NA,NA,NA,NA,NA,376
PORTSMOUTH NORTH,Hampshire,South East,England,71299,0.6439080492012511,45910,28172,12392,3419,NA,1304,NA,NA,NA,NA,NA,NA,NA,623
PORTSMOUTH SOUTH,Hampshire,South East,England,74186,0.6392715606718249,47425,17705,23068,5418,994,NA,NA,NA,NA,NA,NA,NA,NA,240
PRESELI PEMBROKESHIRE,Dyfed,Wales,Wales,59606,0.7116565446431568,42419,21381,16319,1943,NA,NA,NA,2776,NA,NA,NA,NA,NA,NA
PRESTON,Lancashire,North West,England,59672,0.5662622335433705,33790,8724,20870,1737,1799,660,NA,NA,NA,NA,NA,NA,NA,NA
PUDSEY,West Yorkshire,Yorkshire and The Humber,England,73212,0.7405206796699995,54215,26453,22936,3088,NA,894,NA,NA,NA,NA,NA,NA,NA,844
PUTNEY,London,London,England,65556,0.7698303740313625,50467,18006,22780,8548,NA,1133,NA,NA,NA,NA,NA,NA,NA,NA
RAYLEIGH AND WICKFORD,Essex,East,England,78930,0.6955656911187128,54901,39864,8864,4171,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA
READING EAST,Berkshire,South East,England,77152,0.7247770634591456,55918,21178,27102,5035,852,1549,NA,NA,NA,NA,NA,NA,NA,202
READING WEST,Berkshire,South East,England,74137,0.6797145824621984,50392,24393,20276,4460,NA,1263,NA,NA,NA,NA,NA,NA,NA,NA
REDCAR,Cleveland,North East,England,65864,0.620095955301834,40842,18811,15284,2018,2915,491,NA,NA,NA,NA,NA,NA,NA,1323
REDDITCH,Hereford and Worcester,West Midlands,England,65391,0.6739000779923843,44067,27907,11871,2905,NA,1384,NA,NA,NA,NA,NA,NA,NA,NA
REIGATE,Surrey,South East,England,74242,0.7159828668408718,53156,28665,10355,10320,NA,3169,NA,NA,NA,NA,NA,NA,NA,647
RHONDDA,Gwent and Mid Glamorgan,Wales,Wales,50262,0.5897497115116788,29642,4675,16115,612,3733,438,NA,4069,NA,NA,NA,NA,NA,NA
RIBBLE VALLEY,Lancashire,North West,England,79247,0.6976163135513016,55284,33346,14907,4776,NA,1704,NA,NA,NA,NA,NA,NA,NA,551
RICHMOND PARK,London,London,England,82699,0.7867930688400102,65067,26793,3407,34559,NA,NA,NA,NA,NA,NA,NA,NA,NA,308
RICHMOND (YORKS),North Yorkshire,Yorkshire and The Humber,England,82569,0.6988458138042122,57703,36693,9483,6989,NA,2500,NA,NA,NA,NA,NA,NA,NA,2038
ROCHDALE,Greater Manchester,North West,England,78909,0.6012875590870497,47447,14807,24475,3312,3867,986,NA,NA,NA,NA,NA,NA,NA,NA
ROCHESTER AND STROOD,Kent,South East,England,82056,0.6328117383250463,51926,31151,14079,3717,NA,1312,NA,NA,NA,NA,NA,NA,NA,1667
ROCHFORD AND SOUTHEND EAST,Essex,East,England,75624,0.610070876970274,46136,27063,14777,2822,NA,NA,NA,NA,NA,NA,NA,NA,NA,1474
ROMFORD,London,London,England,72350,0.6528127159640635,47231,30494,12601,2708,NA,1428,NA,NA,NA,NA,NA,NA,NA,NA
ROMSEY AND SOUTHAMPTON NORTH,Hampshire,South East,England,68228,0.7532098258779387,51390,27862,5898,16990,NA,NA,NA,NA,NA,NA,NA,NA,NA,640
ROSSENDALE AND DARWEN,Lancashire,North West,England,72770,0.6709083413494572,48822,27570,18048,2011,NA,1193,NA,NA,NA,NA,NA,NA,NA,NA
"ROSS, SKYE AND LOCHABER",NA,Scotland,Scotland,54230,0.7351834777798266,39869,6900,2448,9820,710,NA,19263,NA,NA,NA,NA,NA,NA,728
ROTHERHAM,South Yorkshire,Yorkshire and The Humber,England,61688,0.5779243937232525,35651,11615,14736,2090,6125,NA,NA,NA,NA,NA,NA,NA,NA,1085
ROTHER VALLEY,South Yorkshire,Yorkshire and The Humber,England,74804,0.6510079674883696,48698,21970,15652,2553,6264,1219,NA,NA,NA,NA,NA,NA,NA,1040
RUGBY,Warwickshire,West Midlands,England,72292,0.7028993526254634,50814,29255,15808,4207,NA,1544,NA,NA,NA,NA,NA,NA,NA,NA
"RUISLIP, NORTHWOOD AND PINNER",London,London,England,72816,0.7265436167875192,52904,29391,12997,7986,NA,1646,NA,NA,NA,NA,NA,NA,NA,884
RUNNYMEDE AND WEYBRIDGE,Surrey,South East,England,77196,0.6903077879682885,53289,29262,10992,9236,NA,1876,NA,NA,NA,NA,NA,NA,NA,1923
RUSHCLIFFE,Nottinghamshire,East Midlands,England,77047,0.7852998818902748,60505,28765,21122,9600,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018
RUTHERGLEN AND HAMILTON WEST,NA,Scotland,Scotland,80918,0.6647964606144492,53794,8054,18545,2791,NA,NA,23775,NA,NA,NA,NA,NA,NA,629
RUTLAND AND MELTON,Leicestershire,East Midlands,England,82705,0.7050359712230215,58310,36507,9583,7970,NA,2875,NA,NA,NA,NA,NA,NA,NA,1375
SAFFRON WALDEN,Essex,East,England,87017,0.7249847730903157,63086,39714,8305,12120,NA,2947,NA,NA,NA,NA,NA,NA,NA,NA
SALFORD AND ECCLES,Greater Manchester,North West,England,82202,0.6159460840368848,50632,12428,28755,3099,4290,2060,NA,NA,NA,NA,NA,NA,NA,NA
SALISBURY,Wiltshire,South West,England,74556,0.720666344760985,53730,30280,9675,10544,NA,2486,NA,NA,NA,NA,NA,NA,NA,745
SCARBOROUGH AND WHITBY,North Yorkshire,Yorkshire and The Humber,England,74404,0.6682974033654104,49724,27593,17323,3038,NA,NA,NA,NA,NA,NA,NA,NA,NA,1770
