Constituency,County,Country/Region,Country,Electorate,Turnout,Total votes,Conservative,Labour,Lib. Dem.,Brexit,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,Other
SCUNTHORPE,Humberside,Yorkshire and The Humber,England,61955,0.6093132112016786,37750,20306,13855,875,2044,670,NA,NA,NA,NA,NA,NA,NA,NA
SEDGEFIELD,Durham,North East,England,64325,0.6461873299650214,41566,19609,15096,1955,3518,994,NA,NA,NA,NA,NA,NA,NA,394
SEFTON CENTRAL,Merseyside,North West,England,69760,0.7293577981651376,50880,14132,29254,3386,2425,1261,NA,NA,NA,NA,NA,NA,NA,422
SELBY AND AINSTY,North Yorkshire,Yorkshire and The Humber,England,78398,0.7196357049924743,56418,33995,13858,4842,NA,1823,NA,NA,NA,NA,NA,NA,NA,1900
SEVENOAKS,Kent,South East,England,71757,0.7101188734200148,50956,30932,6946,10114,NA,1974,NA,NA,NA,NA,NA,NA,NA,990
"SHEFFIELD, BRIGHTSIDE AND HILLSBOROUGH",South Yorkshire,Yorkshire and The Humber,England,69333,0.5711565920990005,39600,10095,22369,1517,3855,1179,NA,NA,NA,NA,NA,NA,NA,585
SHEFFIELD CENTRAL,South Yorkshire,Yorkshire and The Humber,England,89849,0.5666507139756702,50913,6695,33968,3237,1969,4570,NA,NA,NA,NA,NA,NA,NA,474
"SHEFFIELD, HALLAM",South Yorkshire,Yorkshire and The Humber,England,72763,0.7817846982669764,56885,14696,19709,18997,1562,1630,NA,NA,NA,NA,NA,NA,NA,291
"SHEFFIELD, HEELEY",South Yorkshire,Yorkshire and The Humber,England,66940,0.6378099790857484,42695,12955,21475,2916,3538,1811,NA,NA,NA,NA,NA,NA,NA,NA
SHEFFIELD SOUTH EAST,South Yorkshire,Yorkshire and The Humber,England,67832,0.6191473051067343,41998,15070,19359,2125,4478,NA,NA,NA,NA,NA,NA,NA,NA,966
SHERWOOD,Nottinghamshire,East Midlands,England,77888,0.6767281224322104,52709,32049,15863,2883,NA,1214,NA,NA,NA,NA,NA,NA,NA,700
SHIPLEY,West Yorkshire,Yorkshire and The Humber,England,74029,0.7294978994718286,54004,27437,21195,3188,NA,1301,NA,NA,NA,NA,NA,NA,NA,883
SHREWSBURY AND ATCHAM,Shropshire,West Midlands,England,82238,0.7182202874583525,59065,31021,19804,5906,NA,1762,NA,NA,NA,NA,NA,NA,NA,572
SITTINGBOURNE AND SHEPPEY,Kent,South East,England,83917,0.612438480879917,51394,34742,10263,3213,NA,1188,NA,NA,NA,NA,NA,NA,NA,1988
SKIPTON AND RIPON,North Yorkshire,Yorkshire and The Humber,England,78673,0.7464314313678136,58724,34919,11225,8701,NA,2748,NA,NA,NA,NA,NA,NA,NA,1131
SLEAFORD AND NORTH HYKEHAM,Lincolnshire,East Midlands,England,94761,0.7023353489304672,66554,44683,12118,5355,NA,1742,NA,NA,NA,NA,NA,NA,NA,2656
SLOUGH,Berkshire,South East,England,86818,0.5878734824575549,51038,15781,29421,3357,1432,1047,NA,NA,NA,NA,NA,NA,NA,NA
SOLIHULL,West Midlands,West Midlands,England,78760,0.7026917216861351,55344,32309,11036,9977,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA
SOMERTON AND FROME,Somerset,South West,England,85866,0.7557822653902593,64896,36230,8354,17017,NA,3295,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTHAMPTON, ITCHEN",Hampshire,South East,England,72299,0.6559011881215507,47421,23952,19454,2503,NA,1040,NA,NA,NA,NA,NA,NA,NA,472
"SOUTHAMPTON, TEST",Hampshire,South East,England,70116,0.6417080266986137,44994,16043,22256,3449,1591,1433,NA,NA,NA,NA,NA,NA,NA,222
SOUTH ANTRIM,NA,Northern Ireland,Northern Ireland,71711,0.5992665002579799,42974,NA,NA,NA,NA,NA,NA,NA,15149,4887,2288,12460,8190,NA
SOUTH BASILDON AND EAST THURROCK,Essex,East,England,74441,0.608495318440107,45297,29973,10051,1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,3316
SOUTH CAMBRIDGESHIRE,Cambridgeshire,East,England,87288,0.7667606085601686,66929,31015,7803,28111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOUTH DERBYSHIRE,Derbyshire,East Midlands,England,79331,0.672889538767947,53381,33502,14167,3924,NA,1788,NA,NA,NA,NA,NA,NA,NA,NA
SOUTH DORSET,Dorset,South West,England,73809,0.6917584576406671,51058,30024,12871,5432,NA,2246,NA,NA,NA,NA,NA,NA,NA,485
SOUTH DOWN,NA,Northern Ireland,Northern Ireland,79175,0.6285064730028418,49762,NA,NA,NA,NA,NA,NA,NA,7619,16137,14517,3307,6916,1266
SOUTH EAST CAMBRIDGESHIRE,Cambridgeshire,East,England,86769,0.7420276826977377,64385,32187,10492,20697,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009
SOUTH EAST CORNWALL,Cornwall,South West,England,71825,0.7470240167072746,53655,31807,10836,8650,NA,1493,NA,NA,NA,NA,NA,NA,NA,869
SOUTHEND WEST,Essex,East,England,69043,0.6740292281621598,46537,27555,13096,5312,NA,NA,NA,NA,NA,NA,NA,NA,NA,574
SOUTH HOLLAND AND THE DEEPINGS,Lincolnshire,East Midlands,England,75975,0.6473050345508391,49179,37338,6500,3225,NA,1613,NA,NA,NA,NA,NA,NA,NA,503
SOUTH LEICESTERSHIRE,Leicestershire,East Midlands,England,80520,0.7137232985593641,57469,36791,12787,5452,NA,2439,NA,NA,NA,NA,NA,NA,NA,NA
SOUTH NORFOLK,Norfolk,East,England,86214,0.7247546802143503,62484,36258,14983,8744,NA,2499,NA,NA,NA,NA,NA,NA,NA,NA
SOUTH NORTHAMPTONSHIRE,Northamptonshire,East Midlands,England,90842,0.7365315602914951,66908,41755,13994,7891,NA,2634,NA,NA,NA,NA,NA,NA,NA,634
SOUTHPORT,Merseyside,North West,England,70837,0.6801530273727007,48180,22914,18767,6499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOUTH RIBBLE,Lancashire,North West,England,75351,0.713779511884381,53784,30028,18829,3720,NA,1207,NA,NA,NA,NA,NA,NA,NA,NA
SOUTH SHIELDS,Tyne and Wear,North East,England,62793,0.6032838055197235,37882,7688,17273,1514,6446,1303,NA,NA,NA,NA,NA,NA,NA,3658
SOUTH STAFFORDSHIRE,Staffordshire,West Midlands,England,73668,0.678788619210512,50005,36520,8270,3280,NA,1935,NA,NA,NA,NA,NA,NA,NA,NA
SOUTH SUFFOLK,Suffolk,East,England,76201,0.7019461686854503,53489,33270,10373,6702,NA,3144,NA,NA,NA,NA,NA,NA,NA,NA
SOUTH SWINDON,Wiltshire,South West,England,73118,0.6940288301102328,50746,26536,19911,4299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOUTH THANET,Kent,South East,England,73223,0.659041557980416,48257,27084,16497,2727,NA,1949,NA,NA,NA,NA,NA,NA,NA,NA
SOUTH WEST BEDFORDSHIRE,Bedfordshire,East,England,79926,0.6669544328503866,53307,32212,13629,5435,NA,2031,NA,NA,NA,NA,NA,NA,NA,NA
SOUTH WEST DEVON,Devon,South West,England,72535,0.735741366236989,53367,33286,11856,6207,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA
SOUTH WEST HERTFORDSHIRE,Hertfordshire,East,England,80499,0.7601460887712891,61191,30327,7228,6251,NA,1466,NA,NA,NA,NA,NA,NA,NA,15919
SOUTH WEST NORFOLK,Norfolk,East,England,78455,0.6559938818430948,51466,35507,9312,4166,NA,1645,NA,NA,NA,NA,NA,NA,NA,836
SOUTH WEST SURREY,Surrey,South East,England,79096,0.7628704359259634,60340,32191,4775,23374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOUTH WEST WILTSHIRE,Wiltshire,South West,England,77969,0.7040618707435006,54895,33038,11408,8015,NA,2434,NA,NA,NA,NA,NA,NA,NA,NA
SPELTHORNE,Surrey,South East,England,70929,0.6980219656275994,49510,29141,10748,7499,NA,2122,NA,NA,NA,NA,NA,NA,NA,NA
STAFFORD,Staffordshire,West Midlands,England,72572,0.7048035054842088,51149,29992,15615,3175,NA,2367,NA,NA,NA,NA,NA,NA,NA,NA
STAFFORDSHIRE MOORLANDS,Staffordshire,West Midlands,England,65485,0.6666564862182179,43656,28192,11764,2469,NA,1231,NA,NA,NA,NA,NA,NA,NA,NA
ST ALBANS,Hertfordshire,East,England,73727,0.7812470329729949,57599,22574,5000,28867,NA,1004,NA,NA,NA,NA,NA,NA,NA,154
STALYBRIDGE AND HYDE,Greater Manchester,North West,England,73064,0.5798751779262017,42368,16079,19025,1827,3591,1411,NA,NA,NA,NA,NA,NA,NA,435
ST AUSTELL AND NEWQUAY,Cornwall,South West,England,79930,0.6978105842612286,55776,31273,14747,5861,NA,1609,NA,NA,NA,NA,NA,NA,NA,2286
STEVENAGE,Hertfordshire,East,England,71562,0.6663173192476454,47683,25328,16766,4132,NA,1457,NA,NA,NA,NA,NA,NA,NA,NA
ST HELENS NORTH,Merseyside,North West,England,75593,0.6291720132816531,47561,12661,24870,2668,5396,1966,NA,NA,NA,NA,NA,NA,NA,NA
ST HELENS SOUTH AND WHISTON,Merseyside,North West,England,79061,0.6363820341255486,50313,10335,29457,2886,5353,2282,NA,NA,NA,NA,NA,NA,NA,NA
STIRLING,NA,Scotland,Scotland,68473,0.7684780862529756,52620,17641,4275,2867,NA,942,26895,NA,NA,NA,NA,NA,NA,NA
ST IVES,Cornwall,South West,England,68795,0.7473362889744894,51413,25365,3553,21085,NA,964,NA,NA,NA,NA,NA,NA,NA,446
STOCKPORT,Greater Manchester,North West,England,65391,0.6379318254805707,41715,11656,21695,5043,1918,1403,NA,NA,NA,NA,NA,NA,NA,NA
STOCKTON NORTH,Cleveland,North East,England,66649,0.617503638464193,41156,16701,17728,1631,3907,NA,NA,NA,NA,NA,NA,NA,NA,1189
STOCKTON SOUTH,Cleveland,North East,England,76870,0.7129179133602186,54802,27764,22504,2338,2196,NA,NA,NA,NA,NA,NA,NA,NA,NA
STOKE-ON-TRENT CENTRAL,Staffordshire,West Midlands,England,55419,0.5786824013424998,32070,14557,13887,1116,1691,819,NA,NA,NA,NA,NA,NA,NA,NA
STOKE-ON-TRENT NORTH,Staffordshire,West Midlands,England,68298,0.5876306773258367,40134,20974,14688,1268,2374,508,NA,NA,NA,NA,NA,NA,NA,322
STOKE-ON-TRENT SOUTH,Staffordshire,West Midlands,England,64491,0.6141011924144454,39604,24632,13361,1611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STONE,Staffordshire,West Midlands,England,69378,0.7184265905618495,49843,31687,11742,4412,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA
STOURBRIDGE,West Midlands,West Midlands,England,69891,0.653717932208725,45689,27534,13963,2523,NA,1048,NA,NA,NA,NA,NA,NA,NA,621
STRANGFORD,NA,Northern Ireland,Northern Ireland,66928,0.5600794884054506,37485,1476,NA,NA,NA,790,NA,NA,17705,555,1994,4023,10634,308
STRATFORD-ON-AVON,Warwickshire,West Midlands,England,74037,0.7435201318259789,55048,33343,6222,13371,NA,2112,NA,NA,NA,NA,NA,NA,NA,NA
STREATHAM,London,London,England,84783,0.6665605133104514,56513,9060,30976,13286,624,2567,NA,NA,NA,NA,NA,NA,NA,NA
STRETFORD AND URMSTON,Greater Manchester,North West,England,72372,0.6918006964019234,50067,13778,30195,2969,1768,1357,NA,NA,NA,NA,NA,NA,NA,NA
STROUD,Gloucestershire,South West,England,84537,0.7798951938204574,65930,31582,27742,NA,1085,4954,NA,NA,NA,NA,NA,NA,NA,567
SUFFOLK COASTAL,Suffolk,East,England,81910,0.7118544744231473,58308,32958,12425,8719,NA,2713,NA,NA,NA,NA,NA,NA,NA,1493
SUNDERLAND CENTRAL,Tyne and Wear,North East,England,72680,0.5981838194826637,43476,15372,18336,3025,5047,1212,NA,NA,NA,NA,NA,NA,NA,484
SURREY HEATH,Surrey,South East,England,81349,0.7210168533110426,58654,34358,5407,16009,NA,2252,NA,NA,NA,NA,NA,NA,NA,628
SUTTON AND CHEAM,London,London,England,71779,0.7033672801237131,50487,25235,7200,16884,NA,1168,NA,NA,NA,NA,NA,NA,NA,NA
SUTTON COLDFIELD,West Midlands,West Midlands,England,75638,0.6917819085644782,52325,31604,12332,6358,NA,2031,NA,NA,NA,NA,NA,NA,NA,NA
SWANSEA EAST,West Glamorgan,Wales,Wales,58450,0.5744910179640719,33579,9435,17405,1409,2842,583,NA,1905,NA,NA,NA,NA,NA,NA
SWANSEA WEST,West Glamorgan,Wales,Wales,57078,0.6277374820421178,35830,10377,18493,2993,1983,NA,NA,1984,NA,NA,NA,NA,NA,NA
TAMWORTH,Staffordshire,West Midlands,England,71572,0.6434918683283966,46056,30542,10908,2426,NA,935,NA,NA,NA,NA,NA,NA,NA,1245
TATTON,Cheshire,North West,England,69018,0.7094815845141847,48967,28277,10890,7712,NA,2088,NA,NA,NA,NA,NA,NA,NA,NA
TAUNTON DEANE,Somerset,South West,England,88676,0.7187175786007488,63733,34164,4715,22464,NA,NA,NA,NA,NA,NA,NA,NA,NA,2390
TELFORD,Shropshire,West Midlands,England,68921,0.6213635901974724,42825,25546,14605,2674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEWKESBURY,Gloucestershire,South West,England,83958,0.7282212534838848,61140,35728,9310,13318,NA,2784,NA,NA,NA,NA,NA,NA,NA,NA
THE COTSWOLDS,Gloucestershire,South West,England,81939,0.746604181159155,61176,35484,7110,15270,NA,3312,NA,NA,NA,NA,NA,NA,NA,NA
THE WREKIN,Shropshire,West Midlands,England,70693,0.6915819105144781,48890,31029,12303,4067,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA
THIRSK AND MALTON,North Yorkshire,Yorkshire and The Humber,England,80991,0.6986949167191416,56588,35634,10480,6774,NA,2263,NA,NA,NA,NA,NA,NA,NA,1437
THORNBURY AND YATE,Avon,South West,England,69492,0.751784378057906,52243,30202,4208,17833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
THURROCK,Essex,East,England,79659,0.5958774275348674,47467,27795,16313,1510,NA,807,NA,NA,NA,NA,NA,NA,NA,1042
TIVERTON AND HONITON,Devon,South West,England,82953,0.7186358540378287,59613,35893,11654,8807,NA,2291,NA,NA,NA,NA,NA,NA,NA,968
TONBRIDGE AND MALLING,Kent,South East,England,79278,0.7190267161129191,57003,35784,8286,8843,NA,4090,NA,NA,NA,NA,NA,NA,NA,NA
TOOTING,London,London,England,76954,0.759843542895756,58473,16504,30811,8305,462,2314,NA,NA,NA,NA,NA,NA,NA,77
TORBAY,Devon,South West,England,75054,0.6718629253604071,50426,29863,6562,12114,NA,1239,NA,NA,NA,NA,NA,NA,NA,648
TORFAEN,Gwent and Mid Glamorgan,Wales,Wales,62330,0.5964383122092091,37176,11804,15546,1831,5742,812,NA,1441,NA,NA,NA,NA,NA,NA
TORRIDGE AND WEST DEVON,Devon,South West,England,80403,0.7428827282564083,59730,35904,10290,10912,NA,2077,NA,NA,NA,NA,NA,NA,NA,547
TOTNES,Devon,South West,England,69863,0.7469189699841118,52182,27751,8860,15027,NA,NA,NA,NA,NA,NA,NA,NA,NA,544
TOTTENHAM,London,London,England,75740,0.6186427251122261,46856,5446,35621,3168,527,1873,NA,NA,NA,NA,NA,NA,NA,221
TRURO AND FALMOUTH,Cornwall,South West,England,76719,0.7715168341610292,59190,27237,22676,7150,NA,1714,NA,NA,NA,NA,NA,NA,NA,413
TUNBRIDGE WELLS,Kent,South East,England,74823,0.7303903879823049,54650,30119,8098,15474,NA,NA,NA,NA,NA,NA,NA,NA,NA,959
TWICKENHAM,London,London,England,84906,0.7596989612041551,64503,22045,5476,36166,816,NA,NA,NA,NA,NA,NA,NA,NA,NA
TYNEMOUTH,Tyne and Wear,North East,England,77261,0.7252559506089747,56034,22071,26928,3791,1963,1281,NA,NA,NA,NA,NA,NA,NA,NA
UPPER BANN,NA,Northern Ireland,Northern Ireland,82887,0.6037738125399641,50045,NA,NA,NA,NA,NA,NA,NA,20501,12291,4623,6197,6433,NA
UXBRIDGE AND SOUTH RUISLIP,London,London,England,70365,0.6848148937682086,48187,25351,18141,3026,NA,1090,NA,NA,NA,NA,NA,NA,NA,579
VALE OF CLWYD,Clwyd,Wales,Wales,56649,0.656904799731681,37213,17270,15443,1471,1477,NA,NA,1552,NA,NA,NA,NA,NA,NA
VALE OF GLAMORGAN,South Glamorgan,Wales,Wales,76508,0.7163564594552204,54807,27305,23743,NA,NA,3251,NA,NA,NA,NA,NA,NA,NA,508
VAUXHALL,London,London,England,88659,0.6353895261620366,56333,9422,31615,12003,641,2516,NA,NA,NA,NA,NA,NA,NA,136
WAKEFIELD,West Yorkshire,Yorkshire and The Humber,England,70192,0.6414833599270572,45027,21283,17925,1772,2725,NA,NA,NA,NA,NA,NA,NA,NA,1322
WALLASEY,Merseyside,North West,England,66310,0.7011310511235108,46492,11579,29901,1843,2037,1132,NA,NA,NA,NA,NA,NA,NA,NA
WALSALL NORTH,West Midlands,West Midlands,England,67177,0.5441743453860697,36556,23334,11369,1236,NA,617,NA,NA,NA,NA,NA,NA,NA,NA
WALSALL SOUTH,West Midlands,West Midlands,England,68024,0.6243678701634717,42472,17416,20872,1602,1660,634,NA,NA,NA,NA,NA,NA,NA,288
WALTHAMSTOW,London,London,England,70267,0.6878762434713308,48335,5922,36784,2874,768,1733,NA,NA,NA,NA,NA,NA,NA,254
WANSBECK,Northumberland,North East,England,63339,0.6395585658125326,40509,16310,17124,2539,3141,1217,NA,NA,NA,NA,NA,NA,NA,178
WANTAGE,Oxfordshire,South East,England,90867,0.7392452705602695,67173,34085,10181,21432,NA,NA,NA,NA,NA,NA,NA,NA,NA,1475
WARLEY,West Midlands,West Midlands,England,62357,0.5971903715701525,37239,10390,21901,1588,2469,891,NA,NA,NA,NA,NA,NA,NA,NA
WARRINGTON NORTH,Cheshire,North West,England,72235,0.6460441614175954,46667,19102,20611,3071,2626,1257,NA,NA,NA,NA,NA,NA,NA,NA
WARRINGTON SOUTH,Cheshire,North West,England,86015,0.7196302970412137,61899,28187,26177,5732,1635,NA,NA,NA,NA,NA,NA,NA,NA,168
WARWICK AND LEAMINGTON,Warwickshire,West Midlands,England,76362,0.7098425918650638,54205,22929,23718,4995,807,1536,NA,NA,NA,NA,NA,NA,NA,220
WASHINGTON AND SUNDERLAND WEST,Tyne and Wear,North East,England,66278,0.5659947493889375,37513,12218,15941,2071,5439,1005,NA,NA,NA,NA,NA,NA,NA,839
WATFORD,Hertfordshire,East,England,83359,0.6965654578389856,58065,26421,21988,9323,NA,NA,NA,NA,NA,NA,NA,NA,NA,333
WAVENEY,Suffolk,East,England,82791,0.6175671268616154,51129,31778,13776,2603,NA,2727,NA,NA,NA,NA,NA,NA,NA,245
WEALDEN,East Sussex,South East,England,82998,0.7338369599267452,60907,37043,9377,11388,NA,3099,NA,NA,NA,NA,NA,NA,NA,NA
WEAVER VALE,Cheshire,North West,England,70551,0.7188133407038879,50713,22210,22772,3300,1380,1051,NA,NA,NA,NA,NA,NA,NA,NA
WELLINGBOROUGH,Northamptonshire,East Midlands,England,80765,0.6427660496502198,51913,32277,13737,4078,NA,1821,NA,NA,NA,NA,NA,NA,NA,NA
WELLS,Somerset,South West,England,84124,0.7325852313251866,61628,33336,4304,23345,NA,NA,NA,NA,NA,NA,NA,NA,NA,643
WELWYN HATFIELD,Hertfordshire,East,England,74892,0.6950408588367248,52053,27394,16439,6602,NA,1618,NA,NA,NA,NA,NA,NA,NA,NA
WENTWORTH AND DEARNE,South Yorkshire,Yorkshire and The Humber,England,74536,0.5575426639476226,41557,14577,16742,1705,7019,NA,NA,NA,NA,NA,NA,NA,NA,1514
WEST ABERDEENSHIRE AND KINCARDINE,NA,Scotland,Scotland,72640,0.734375,53345,22752,2431,6253,NA,NA,21909,NA,NA,NA,NA,NA,NA,NA
WEST BROMWICH EAST,West Midlands,West Midlands,England,62046,0.5798117525706734,35975,16804,15211,1313,1475,627,NA,NA,NA,NA,NA,NA,NA,545
WEST BROMWICH WEST,West Midlands,West Midlands,England,64517,0.534107289551591,34459,17419,13620,915,1841,664,NA,NA,NA,NA,NA,NA,NA,NA
WEST DORSET,Dorset,South West,England,81897,0.7439222437940339,60925,33589,5729,19483,NA,2124,NA,NA,NA,NA,NA,NA,NA,NA
WEST DUNBARTONSHIRE,NA,Scotland,Scotland,66517,0.6786235097794548,45140,6436,12843,1890,NA,867,22396,NA,NA,NA,NA,NA,NA,708
WEST HAM,London,London,England,97947,0.6146181097940723,60200,9793,42181,4161,1679,1780,NA,NA,NA,NA,NA,NA,NA,606
WEST LANCASHIRE,Lancashire,North West,England,73347,0.717998009461873,52663,19122,27458,2560,2275,1248,NA,NA,NA,NA,NA,NA,NA,NA
WESTMINSTER NORTH,London,London,England,65519,0.6549397884583098,42911,12481,23240,5593,418,1064,NA,NA,NA,NA,NA,NA,NA,115
WESTMORLAND AND LONSDALE,Cumbria,North West,England,67789,0.7775892843971736,52712,23861,2293,25795,763,NA,NA,NA,NA,NA,NA,NA,NA,NA
WESTON-SUPER-MARE,Avon,South West,England,82526,0.6738967113394566,55614,31983,14862,6935,NA,1834,NA,NA,NA,NA,NA,NA,NA,NA
WEST SUFFOLK,Suffolk,East,England,80193,0.6414150861047723,51437,33842,10648,4685,NA,2262,NA,NA,NA,NA,NA,NA,NA,NA
WEST TYRONE,NA,Northern Ireland,Northern Ireland,66259,0.6215910291432107,41186,NA,NA,NA,NA,521,NA,NA,9066,16544,7330,2774,3979,972
WEST WORCESTERSHIRE,Hereford and Worcester,West Midlands,England,76241,0.7545808685615352,57530,34909,9496,10410,NA,2715,NA,NA,NA,NA,NA,NA,NA,NA
WIGAN,Greater Manchester,North West,England,75680,0.5951638477801269,45042,14314,21042,2428,5959,1299,NA,NA,NA,NA,NA,NA,NA,NA
WIMBLEDON,London,London,England,68240,0.7770662368112544,53027,20373,12543,19745,NA,NA,NA,NA,NA,NA,NA,NA,NA,366
WINCHESTER,Hampshire,South East,England,75582,0.7791537667698658,58890,28430,2723,27445,NA,NA,NA,NA,NA,NA,NA,NA,NA,292
WINDSOR,Berkshire,South East,England,75038,0.7163037394386844,53750,31501,8147,11422,NA,1796,NA,NA,NA,NA,NA,NA,NA,884
WIRRAL SOUTH,Merseyside,North West,England,57280,0.7602479050279329,43547,16179,22284,2917,1219,948,NA,NA,NA,NA,NA,NA,NA,NA
WIRRAL WEST,Merseyside,North West,England,55550,0.7726012601260126,42918,17692,20695,2706,860,965,NA,NA,NA,NA,NA,NA,NA,NA
WITHAM,Essex,East,England,70402,0.7008891792846794,49344,32876,8794,4584,NA,3090,NA,NA,NA,NA,NA,NA,NA,NA
WITNEY,Oxfordshire,South East,England,83845,0.7311706124396208,61305,33856,8770,18679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WOKING,Surrey,South East,England,75424,0.7151172040729741,53937,26396,8827,16629,NA,1485,NA,NA,NA,NA,NA,NA,NA,600
WOKINGHAM,Berkshire,South East,England,83953,0.7384727168773004,61997,30734,6450,23351,NA,1382,NA,NA,NA,NA,NA,NA,NA,80
WOLVERHAMPTON NORTH EAST,West Midlands,West Midlands,England,61660,0.5559682127797599,34281,17722,13642,960,1354,603,NA,NA,NA,NA,NA,NA,NA,NA
WOLVERHAMPTON SOUTH EAST,West Midlands,West Midlands,England,62883,0.5318289521810347,33443,14287,15522,1019,2094,521,NA,NA,NA,NA,NA,NA,NA,NA
WOLVERHAMPTON SOUTH WEST,West Midlands,West Midlands,England,60534,0.6795519873129151,41136,19864,18203,2041,1028,NA,NA,NA,NA,NA,NA,NA,NA,NA
WORCESTER,Hereford and Worcester,West Midlands,England,73485,0.6926311492141254,50898,25856,19098,3666,NA,1694,NA,NA,NA,NA,NA,NA,NA,584
WORKINGTON,Cumbria,North West,England,61370,0.6778393351800553,41599,20488,16312,1525,1749,596,NA,NA,NA,NA,NA,NA,NA,929
WORSLEY AND ECCLES SOUTH,Greater Manchester,North West,England,75219,0.5943578085324187,44707,17227,20446,2510,3224,1300,NA,NA,NA,NA,NA,NA,NA,NA
WORTHING WEST,West Sussex,South East,England,78585,0.6953998854743272,54648,30475,15652,6024,NA,2008,NA,NA,NA,NA,NA,NA,NA,489
WREXHAM,Clwyd,Wales,Wales,49737,0.6741862195146471,33532,15199,13068,1447,1222,445,NA,2151,NA,NA,NA,NA,NA,NA
WYCOMBE,Buckinghamshire,South East,England,78093,0.7011639967730783,54756,24766,20552,6543,NA,1454,NA,NA,NA,NA,NA,NA,NA,1441
WYRE AND PRESTON NORTH,Lancashire,North West,England,74775,0.7077766633233032,52924,31589,14808,4463,NA,1729,NA,NA,NA,NA,NA,NA,NA,335
WYRE FOREST,Hereford and Worcester,West Midlands,England,78077,0.6475786723362834,50561,32960,11547,4081,NA,1973,NA,NA,NA,NA,NA,NA,NA,NA
WYTHENSHAWE AND SALE EAST,Greater Manchester,North West,England,76313,0.5865186796482906,44759,13459,23855,3111,2717,1559,NA,NA,NA,NA,NA,NA,NA,58
YEOVIL,Somerset,South West,England,82468,0.7185817529223456,59260,34588,3761,18407,NA,1629,NA,NA,NA,NA,NA,NA,NA,875
YNYS MON,Gwynedd,Wales,Wales,51925,0.7039383726528647,36552,12959,10991,NA,2184,NA,NA,10418,NA,NA,NA,NA,NA,NA
YORK CENTRAL,North Yorkshire,Yorkshire and The Humber,England,74899,0.6609567550968638,49505,13767,27312,4149,1479,2107,NA,NA,NA,NA,NA,NA,NA,691
YORK OUTER,North Yorkshire,Yorkshire and The Humber,England,74673,0.7411915953557511,55347,27324,17339,9992,NA,NA,NA,NA,NA,NA,NA,NA,NA,692
